delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,delta_d_polymer,delta_p_polymer,delta_h_polymer,compatible
16.0,6.8,17.4,75.2,16.9,3.3,4.1,0
16.3,5.2,8.3,98.8,16.9,3.3,4.1,1
16.2,11.9,8.7,60.0,16.9,3.3,4.1,0
19.7,18.2,10.3,65.5,16.9,3.3,4.1,0
15.3,11.1,6.9,73.4,16.9,3.3,4.1,0
17.5,13.4,9.8,63.2,16.9,3.3,4.1,0
16.7,9.8,11.5,78.9,16.9,3.3,4.1,0
14.7,5.3,12.4,75.0,16.9,3.3,4.1,0
16.2,10.0,8.7,129.4,16.9,3.3,4.1,0
15.3,14.3,5.5,70.9,16.9,3.3,4.1,0
16.1,10.3,5.3,86.9,16.9,3.3,4.1,1
15.3,4.3,7.6,115.3,16.9,3.3,4.1,1
16.9,4.9,8.6,83.0,16.9,3.3,4.1,1
15.5,7.1,8.6,97.9,16.9,3.3,4.1,0
15.1,1.6,1.5,68.8,16.9,3.3,4.1,1
16.8,9.4,23.3,73.6,16.9,3.3,4.1,0
15.6,4.3,9.0,155.1,16.9,3.3,4.1,1
