polymer_name,delta_d_polymer,delta_p_polymer,delta_h_polymer,r0_polymer,solvent_name,delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,red_value,compatible
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyldisulfid,16.7,6.7,5.7,123.1,0.4665,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethylene Glycol Monoeth yl Ether,16.2,5.1,9.2,175.5,0.6897,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dihexyl Phthalate,17.0,7.6,3.6,332.3,0.535,1
Polyethylene (PE),16.9,3.3,4.1,8.1,"Dihydroxybenzene (1,4-",21.0,10.2,27.2,82.7,3.1438,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dihydroxybenzene (Catechol),20.0,11.3,21.8,81.9,2.5172,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Diisobutyl Adipate,16.7,2.5,6.2,269.6,0.2818,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Diisopropylamine,14.8,1.7,3.5,141.1,0.5598,1
Polyethylene (PE),16.9,3.3,4.1,8.1,"N,N-Dimethyl Acetamide",16.8,11.5,10.2,92.5,1.262,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Acetylene,15.1,3.4,7.6,78.9,0.62,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Amine,15.3,4.8,11.2,66.2,0.9791,1
Polyethylene (PE),16.9,3.3,4.1,8.1,"N,N-Dimethyl Butyramide",16.4,10.6,7.4,127.8,0.9967,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Carbonate,15.5,3.9,9.7,84.2,0.7765,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Diketone,15.7,5.3,11.7,88.2,1.0145,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Disulfid,17.3,7.8,6.5,88.6,0.6373,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Ether,15.2,6.1,5.7,63.2,0.5785,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Formamide,17.4,13.7,11.3,77.0,1.5665,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Hydrazine,15.3,5.9,11.0,76.0,0.9923,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Methyl Phosphonate,16.7,13.1,7.5,106.9,1.2816,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Phthalate,18.6,10.8,4.9,163.0,1.0214,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Sebacate,16.6,2.9,6.7,233.3,0.3331,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Sulfate,17.7,17.0,9.7,94.7,1.8378,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Sulfid,16.1,6.4,7.4,73.2,0.5928,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Sulfone,19.0,19.4,12.3,75.0,2.2901,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dimethyl Sulfoxide,18.4,16.4,10.2,71.3,1.8221,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dioctyl Adipate,16.7,2.0,5.1,400.0,0.2084,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dioctyl Phthalate,16.6,7.0,3.1,377.0,0.4789,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Diphenyl Ether,19.5,3.4,5.8,160.4,0.6755,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diphenylamine,20.0,3.3,5.9,145.9,0.797,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diphenylmethane,19.5,1.0,1.0,168.2,0.7995,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dipropyl Amine,15.3,1.4,4.1,136.9,0.4595,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dipropyl Ketone,15.8,5.7,4.9,140.8,0.4139,1
